"ID","Handle","Command","Title","Status","Published","Published At"
"8819113984221","thin-strap-fitted-tank-black","MERGE","Thin Strap Fitted Tank","Draft","false",""
"8819114148061","cropped-thin-strap-fitted-tank-black","MERGE","Cropped Thin Strap Fitted Tank","Draft","false",""
"8819114082525","thin-strap-fitted-tank-heather-grey","MERGE","Thin Strap Fitted Tank","Draft","false",""
"8819114246365","tank-dress-maxi-black","MERGE","TANK MAXI DRESS","Active","true","2022-06-10 09:15:27 -0700"
"8819114213597","cropped-thin-strap-fitted-tank-cream","MERGE","Cropped Thin Strap Fitted Tank","Draft","false",""
"8819114049757","thin-strap-fitted-tank-cream","MERGE","Thin Strap Fitted Tank","Draft","false",""
"8819114344669","cropped-thin-strap-fitted-tank-heather-grey","MERGE","Cropped Thin Strap Fitted Tank","Draft","false",""
"8819114508509","long-sleeve-crewneck-dress-maxi-heather-grey","MERGE","Long Sleeve Crewneck Maxi Dress","Draft","false",""
"8819114574045","long-sleeve-crewneck-dress-maxi-cream","MERGE","LONG SLEEVE CREWNECK MAXI DRESS","Active","true","2022-08-09 14:09:38 -0700"
"8819114639581","long-sleeve-turtleneck-dress-mini-black-black","MERGE","LONG SLEEVE TURTLENECK MINI DRESS","Active","true","2022-06-23 10:51:30 -0700"
"8819114672349","long-sleeve-turtleneck-dress-mini-heather-grey","MERGE","Long Sleeve Turtleneck Mini Dress","Draft","false",""
"8819114737885","long-sleeve-turtleneck-dress-mini-cream","MERGE","LONG SLEEVE TURTLENECK MINI DRESS","Active","true","2022-06-01 12:25:55 -0700"
"8819114770653","long-sleeve-turtleneck-dress-maxi-black","MERGE","LONG SLEEVE TURTLENECK MAXI DRESS","Active","true","2022-08-30 11:55:38 -0700"
"8819114803421","long-sleeve-turtleneck-dress-maxi-cream","MERGE","LONG SLEEVE TURTLENECK MAXI DRESS","Active","true","2022-08-30 11:53:31 -0700"
"8819114868957","long-sleeve-turtleneck-dress-maxi-heather-grey","MERGE","Long Sleeve Turtleneck Maxi Dress","Draft","false",""
"8819114901725","classic-sweatpant-black","MERGE","CLASSIC SWEATPANT","Active","true","2022-09-19 12:12:21 -0700"
"8819114934493","classic-sweatpant-cream","MERGE","CLASSIC SWEATPANT","Active","true","2022-09-19 12:13:35 -0700"
"8819115000029","classic-sweatpant-heather-brown","MERGE","Classic Sweatpant","Draft","false",""
"8819115032797","classic-sweatpant-heather-grey","MERGE","CLASSIC SWEATPANT","Active","true","2022-11-29 12:31:40 -0800"
"8819115065565","straight-leg-sweatpant-cream","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2022-09-06 15:50:42 -0700"
"8819115131101","straight-leg-sweatpant-black","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2022-09-06 15:49:56 -0700"
"8819115163869","straight-leg-sweatpant-heather-brown","MERGE","Straight Leg Sweatpant","Draft","false",""
"8819115229405","straight-leg-sweatpant-heather-grey","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2022-09-26 19:19:36 -0700"
"8819115294941","shrunken-raglan-sweatshirt-black","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2022-09-06 15:44:43 -0700"
"8819115327709","shrunken-raglan-sweatshirt-cream","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2022-09-06 15:44:18 -0700"
"8819115426013","shrunken-raglan-sweatshirt-heather-grey","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2022-09-26 19:22:43 -0700"
"8819115491549","oversized-crewneck-sweatshirt-cream","MERGE","OVERSIZED CREWNECK SWEATSHIRT","Active","true","2022-09-19 12:17:42 -0700"
"8819115557085","oversized-crewneck-sweatshirt-black","MERGE","OVERSIZED CREWNECK SWEATSHIRT","Active","true","2022-09-19 12:15:47 -0700"
"8819115655389","oversized-crewneck-sweatshirt-heather-grey","MERGE","OVERSIZED CREWNECK SWEATSHIRT","Active","true","2022-11-29 12:25:06 -0800"
"8819115753693","georgia","MERGE","GEORGIA DRESS","Active","true","2022-11-15 12:48:04 -0800"
"8819115786461","charlie","MERGE","CHARLIE TOP","Active","true","2022-11-07 14:56:02 -0800"
"8819115819229","sloane","MERGE","Sloane Dress","Draft","false",""
"8819115917533","romee","MERGE","Romee Top","Draft","false",""
"8819115950301","amina","MERGE","AMINA TOP","Active","true","2022-10-17 12:21:24 -0700"
"8819115983069","chloe","MERGE","Chloé Top","Draft","false",""
"8819116015837","simone","MERGE","Simone Top","Draft","false",""
"8819116114141","theodore","MERGE","THEODORE CARDIGAN","Active","true","2022-11-01 12:07:31 -0700"
"8819116146909","emma","MERGE","EMMA SKIRT","Active","true","2022-10-11 13:29:34 -0700"
"8819116179677","sadie","MERGE","Sadie Dress","Draft","false",""
"8819116277981","theodore-1","MERGE","Theodore Cardigan","Draft","false",""
"8819116343517","theodore-2","MERGE","THEODORE CARDIGAN","Active","true","2022-11-01 12:23:22 -0700"
"8819116376285","theodore-3","MERGE","THEODORE CARDIGAN","Active","true","2022-11-01 12:08:13 -0700"
"8819116441821","james","MERGE","JAMES SWEATER","Active","true","2022-11-02 12:04:16 -0700"
"8819116474589","james-1","MERGE","JAMES SWEATER","Active","true","2022-11-02 12:05:04 -0700"
"8819116507357","james-2","MERGE","JAMES SWEATER","Active","true","2022-11-02 12:05:44 -0700"
"8819116572893","francis","MERGE","FRANCIS SWEATER","Active","true","2022-10-25 13:05:41 -0700"
"8819116605661","james-3","MERGE","James Sweater","Draft","false",""
"8819116638429","francis-1","MERGE","FRANCIS SWEATER","Active","true","2022-11-01 16:02:24 -0700"
"8819116671197","francis-3","MERGE","FRANCIS SWEATER","Active","true","2022-10-25 13:06:50 -0700"
"8819116736733","long-sleeve-crewneck-dress-mini-earth","MERGE","Long Sleeve Crewneck Mini Dress","Draft","false",""
"8819116769501","francis-2","MERGE","FRANCIS SWEATER","Active","true","2022-10-25 13:06:29 -0700"
"8819116802269","short-sleeve-baby-tee-earth","MERGE","Short Sleeve Baby Tee","Draft","false",""
"8819116867805","lounge-pant-earth","MERGE","Lounge Pant","Draft","false",""
"8819116900573","tank-dress-mini-earth","MERGE","Tank Mini Dress","Draft","false",""
"8819116933341","long-sleeve-crewneck-dress-maxi-sand","MERGE","Long Sleeve Crewneck Maxi Dress","Draft","false",""
"8819116998877","tank-dress-mini-oat","MERGE","Tank Mini Dress","Draft","false",""
"8819117031645","tank-dress-mini-olive","MERGE","Tank Mini Dress","Draft","false",""
