"ID","Handle","Command","Title","Status"
"8810152427741","gift-card","MERGE","Backup - Digital Gift Card","Active"
"8810152329437","gift-card-1","MERGE","Gift Card","Active"
"8810166649053","test-2","MERGE","Test 2","Active"
"8819108479197","long-sleeve-thermal-black","MERGE","Long Sleeve Thermal","Active"
"8813772505309","rise-ai-giftcard","MERGE","Digital Gift Card","Active"
"8810159538397","test","MERGE","Test hidden","Active"
"8819108544733","short-sleeve-baby-tee-black","MERGE","Short Sleeve Baby Tee","Active"
"8819108675805","rib-tank-ivory","MERGE","Rib Tank","Active"
"8819108708573","boyfriend-tank-black","MERGE","Boyfriend Tank","Active"
"8819108741341","cropped-rib-tank-black","MERGE","Cropped Rib Tank","Active"
"8819108774109","cropped-boyfriend-tank-ivory","MERGE","Cropped Boyfriend Tank","Active"
"8819108806877","boyfriend-tank-ivory","MERGE","Boyfriend Tank","Active"
"8819108839645","cropped-rib-tank-ivory","MERGE","Cropped Rib Tank","Active"
"8819108872413","cropped-boyfriend-tank-black","MERGE","Cropped Boyfriend Tank","Active"
"8819108937949","cropped-rib-tank-heather-grey","MERGE","Cropped Rib Tank","Active"
"8819108970717","long-sleeve-boyfriend-tee-ivory","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819109003485","long-sleeve-boyfriend-tee-heather-grey","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819109036253","long-sleeve-thermal-ivory","MERGE","Long Sleeve Thermal","Active"
"8819109101789","the-rib-tank-black","MERGE","Rib Tank","Active"
"8819109134557","cropped-long-sleeve-thermal-ivory","MERGE","Cropped Long Sleeve Thermal","Active"
"8819109167325","the-rib-tank-heather-grey","MERGE","Rib Tank","Active"
"8819109200093","short-sleeve-baby-ivory","MERGE","Short Sleeve Baby Tee","Active"
"8819109265629","the-short-sleeve-boyfriend-tee-ivory","MERGE","Short Sleeve Boyfriend T-Shirt","Active"
"8819109298397","the-short-sleeve-boyfriend-tee-g","MERGE","Short Sleeve Boyfriend T-Shirt","Active"
"8819109331165","short-biker","MERGE","Short Biker","Active"
"8819109363933","long-biker","MERGE","Long Biker","Active"
"8819109429469","bandeau-bra","MERGE","Bandeau Bra","Active"
"8819109462237","scoop-neck-bra-ivory","MERGE","Scoop Neck Bra","Active"
"8819109495005","scoop-neck-bra-black","MERGE","Scoop Neck Bra","Active"
"8819109527773","triangle-bra-ivory","MERGE","Triangle Bra","Active"
"8819109593309","triangle-bra-black","MERGE","Triangle Bra","Active"
"8819109626077","90s-brief-ivory","MERGE","90s Brief","Active"
"8819109658845","high-rise-brief-black","MERGE","High Rise Brief","Active"
"8819109691613","high-rise-brief-ivory","MERGE","High Rise Brief","Active"
"8819109757149","low-rise-thong-black","MERGE","Low Rise Thong","Active"
"8819109789917","low-rise-thong-ivory","MERGE","Low Rise Thong","Active"
"8819109855453","high-rise-thong-ivory","MERGE","High Rise Thong","Active"
"8819109888221","high-rise-thong-black","MERGE","High Rise Thong","Active"
"8819109920989","eterne-mask","MERGE","Éterne Mask","Active"
"8819109953757","turtleneck-bodysuit","MERGE","Sleeveless Turtleneck Bodysuit","Active"
"8819110019293","halter-bodysuit-ivory","MERGE","Halter Bodysuit","Active"
"8819110052061","halter-bodysuit-black","MERGE","Halter Bodysuit","Active"
"8819110084829","long-sleeve-bodysuit-ivory","MERGE","Long Sleeve Deep V Bodysuit","Active"
"8819110117597","long-sleeve-bodysuit-black","MERGE","Long Sleeve Deep V Bodysuit","Active"
"8819110183133","tank-bodysuit-black","MERGE","Tank Bodysuit","Active"
"8819110215901","cropped-ribbed-turtleneck-ivory","MERGE","Cropped Rib Turtleneck","Active"
"8819110248669","cropped-ribbed-turtleneck-black","MERGE","Cropped Rib Turtleneck","Active"
"8819110314205","ribbed-racerback-tank-ivory","MERGE","Rib Racerback Tank","Active"
"8819110346973","ribbed-racerback-tank-black","MERGE","Rib Racerback Tank Black","Active"
"8819110412509","ribbed-racerback-tank-heather-grey","MERGE","Rib Racerback Tank Heather Grey","Active"
"8819110445277","cropped-rib-racerback-tank-ivory","MERGE","Cropped Rib Racerback Tank","Active"
"8819110510813","cropped-ribbed-racerback-tank-black","MERGE","Cropped Rib Racerback Tank","Active"
"8819110543581","cropped-ribbed-racerback-tank-heather-grey","MERGE","Cropped Rib Racerback Tank","Active"
"8819110609117","long-sleeve-hoodie-t-shirt-ivory","MERGE","Long Sleeve Hoodie T-Shirt","Active"
"8819110641885","long-sleeve-hoodie-t-shirt-black","MERGE","Long Sleeve Hoodie T-Shirt","Active"
"8819110674653","long-sleeve-hoodie-t-shirt-heather-grey","MERGE","Long Sleeve Hoodie T-Shirt","Active"
"8819110707421","long-sleeve-cropped-hoodie-t-shirt-ivory","MERGE","Long Sleeve Cropped Hoodie T-Shirt","Active"
"8819110772957","long-sleeve-cropped-hoodie-t-shirt-heather-grey","MERGE","Long Sleeve Cropped Hoodie T-Shirt","Active"
"8819110805725","long-sleeve-cropped-hoodie-t-shirt-black","MERGE","Long Sleeve Cropped Hoodie T-Shirt","Active"
"8819110838493","boyfriend-pocket-t-shirt-ivory","MERGE","Boyfriend Pocket T-Shirt","Active"
"8819110936797","boyfriend-pocket-t-shirt-black","MERGE","Boyfriend Pocket T-Shirt","Active"
"8819110969565","boyfriend-pocket-t-shirt-heather-grey","MERGE","Boyfriend Pocket T-Shirt","Active"
"8819111002333","lounge-pant-ivory","MERGE","Lounge Pant","Active"
"8819111035101","lounge-pant-black","MERGE","Lounge Pant","Active"
"8819111133405","lounge-pant-heather-grey","MERGE","Lounge Pant","Active"
"8819111198941","lounge-boxer-short-ivory","MERGE","Lounge Boxer Short","Active"
"8819111231709","lounge-boxer-short-black","MERGE","Lounge Boxer Short","Active"
"8819111297245","lounge-boxer-short-heather-grey","MERGE","Lounge Boxer Short","Active"
"8819111362781","oversized-thermal-ivory","MERGE","Oversized Thermal","Active"
"8819111395549","oversized-thermal-black","MERGE","Oversized Thermal","Active"
"8819111461085","oversized-thermal-heather-grey","MERGE","Oversized Thermal","Active"
"8819111493853","cropped-oversized-thermal-ivory","MERGE","Cropped Oversized Thermal","Active"
"8819111526621","cropped-oversized-thermal-black","MERGE","Cropped Oversized Thermal","Active"
"8819111592157","cropped-oversized-thermal-heather-grey","MERGE","Cropped Oversized Thermal","Active"
"8819111624925","thermal-biker-short-black","MERGE","Thermal Biker Short","Active"
"8819111690461","thermal-biker-short-heather-grey","MERGE","Thermal Biker Short","Active"
"8819111755997","thermal-romper","MERGE","Thermal Romper","Active"
"8819111788765","thermal-lounge-pant-ivory","MERGE","Lounge Pant","Active"
"8819111821533","thermal-lounge-pant-black","MERGE","Lounge Pant","Active"
