"ID","Handle","Command","Title","Status"
"8940229263591","square-neck-mini-dress","MERGE","Square Neck Mini Dress","Draft"
"8940229099751","square-neck-maxi-dress-3","MERGE","Square Neck Maxi Dress","Draft"
"8940230672615","stevie","MERGE","STEVIE CASHMERE  SWEATER","Draft"
"8940230410471","sawyer","MERGE","SAWYER TOP","Draft"
"8940230541543","sawyer-1","MERGE","SAWYER TOP","Draft"
"8940231459047","ls-baby-tee","MERGE","Long Sleeve Baby Tee","Draft"
"8940231819495","tank-romper-1","MERGE","TANK ROMPER","Draft"
"8964805525735","test-product-1","MERGE","test product","Archived"
"8975032352999","gift-card","MERGE","Backup - Digital Gift Card","Draft"
"8975032385767","gift-card-1","MERGE","Gift Card","Draft"
"8975042052327","poplin-lounge-pant","MERGE","Lounge Pant","Draft"
"8975042117863","poplin-oversized-button-down","MERGE","Oversized Button Down","Draft"
"8975042576615","button-down","MERGE","Button Down","Draft"
"8983466803431","lounge-pant-stripe","MERGE","Lounge Pant","Draft"
"8983466901735","button-down-stripe","MERGE","Oversized Button Down","Draft"
"9017717227751","test-2","MERGE","Test 2","Draft"
"9038863171815","long-sleeve-turtleneck-mini-dress-moss","MERGE","Long Sleeve Turtleneck Mini Dress","Archived"
"9038865039591","shrunken-hoodie-sweatshirt-moss","MERGE","Shrunken Hoodie Sweatshirt","Draft"
"9052912681191","fitted-crewneck-long-sleeve-t-shirt-3","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT","Draft"
"9091643998439","shrunken-hoodie-sweatshirt-poppy","MERGE","Shrunken Hoodie Sweatshirt Poppy","Archived"
"9091644162279","iris-tank-poppy","MERGE","Iris Tank Poppy","Archived"
"9091644915943","iris-mini-dress-poppy","MERGE","Iris Mini Dress Poppy","Archived"
"9091646849255","kaia-bikini-top-poppy","MERGE","Kaia Bikini Top Poppy","Archived"
"9091647013095","grace-one-piece-poppy","MERGE","GRACE ONE PIECE","Draft"
"9091647144167","kaia-one-piece-poppy","MERGE","KAIA ONE PIECE","Draft"
"9091647308007","kaia-bikini-bottom-poppy","MERGE","Kaia Bikini Bottom Poppy","Archived"
"9091648225511","short-sleeve-raglan-sweatshirt-sage","MERGE","Short Sleeve Raglan Sweatshirt","Archived"
"9091648749799","long-sleeve-baby-tee-sage","MERGE","Long Sleeve Baby Tee Sage","Archived"
"9091649667303","kaia-bikini-top-sage","MERGE","Kaia Bikini Top Sage","Archived"
"9091649765607","grace-one-piece-sage","MERGE","GRACE ONE PIECE","Draft"
"9091649863911","kaia-bikini-bottom-sage","MERGE","Kaia Bikini Bottom Sage","Archived"
"9092339368167","short-sleeve-baby-tee-n-br-1","MERGE","Short Sleeve Baby Tee","Archived"
"9092354572519","lounge-pant-b-ct","MERGE","Lounge Pant","Archived"
"9092404510951","short-sleeve-baby-tee-moss-br","MERGE","Short Sleeve Baby Tee","Archived"
"9092410704103","lounge-pant-i-cm","MERGE","Lounge Pant","Draft"
"9092418371815","lounge-pant-h-ct","MERGE","Lounge Pant","Draft"
"9092420337895","lounge-pant-c-ct","MERGE","Lounge Pant","Archived"
"9092421714151","lounge-pant-m-cm-copy","MERGE","Lounge Pant","Archived"
"9092428267751","short-sleeve-baby-tee-ivory-br","MERGE","Short Sleeve Baby Tee","Archived"
"9092428431591","lounge-pant-ho-ct","MERGE","Lounge Pant","Archived"
"9092432134375","short-sleeve-baby-tee-ch-br","MERGE","Short Sleeve Baby Tee","Archived"
"9092433314023","short-sleeve-baby-tee-heather-grey-br","MERGE","Short Sleeve Baby Tee","Archived"
"9092433805543","short-sleeve-baby-tee-heather-oatmeal-cm","MERGE","Short Sleeve Baby Tee","Archived"
"9092435181799","long-sleeve-baby-tee-heather-oatmeal-cm","MERGE","Long Sleeve Baby Tee","Archived"
"9092440522983","long-sleeve-baby-tee-moss-br","MERGE","Long Sleeve Baby Tee","Archived"
"9092442489063","fitted-crewneck-long-sleeve-t-shirt-sj-ivory","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT sj","Draft"
"9092442849511","long-sleeve-baby-tee-navy-br","MERGE","Long Sleeve Baby Tee","Archived"
"9092445896935","long-sleeve-baby-tee-chocolate-br","MERGE","Long Sleeve Baby Tee","Archived"
"9092453892327","long-sleeve-baby-tee-ivory-br","MERGE","Long Sleeve Baby Tee","Archived"
"9092457431271","long-sleeve-baby-tee-heather-grey-br","MERGE","Long Sleeve Baby Tee","Archived"
"9092467589351","fitted-crewneck-short-sleeve-t-shirt-cm","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Archived"
"9092469489895","fitted-crewneck-short-sleeve-t-shirt-sj","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Draft"
"9092469948647","fitted-crewneck-short-sleeve-t-shirt-sj-1","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Archived"
