ID,Handle,Command,Actual Status,Status
8819119587549,high-neck-fitted-tank-1,MERGE,Active,Archived
8819119653085,high-neck-fitted-tank,MERGE,Active,Archived
8819119685853,high-neck-fitted-tank-2,MERGE,Active,Archived
8819119849693,high-neck-fitted-tank-3,MERGE,Active,Archived
8819127091421,halter-maxi-dress,MERGE,Draft,Archived
8819127124189,halter-maxi-dress-1,MERGE,Draft,Archived
8819127189725,90s-tank,MERGE,Active,Archived
8819127222493,90s-tank-1,MERGE,Active,Archived
8819127320797,halter-top,MERGE,Active,Archived
8819127353565,halter-top-1,MERGE,Active,Archived
8819127714013,drawstring-short,MERGE,Active,Archived
8819127746781,drawstring-short-1,MERGE,Active,Archived
8819128303837,classis-rib-socks-1,MERGE,Archived,Archived
8819128762589,drawstring-short-2,MERGE,Active,Archived
8819131777245,highwaist-legging,MERGE,Active,Archived
8819131908317,highwaist-legging-2,MERGE,Active,Archived
8819132104925,cropped-cardigan-2,MERGE,Active,Archived
8819132334301,brody-pant,MERGE,Active,Archived
8819132465373,constance-top,MERGE,Active,Archived
8836535812317,emma-skirt-11,MERGE,Active,Archived
8853998665949,fitted-crewneck-long-sleeve-t-shirt-moss,MERGE,Active,Archived
8853999288541,brody-pant-ivory,MERGE,Active,Archived
8853999485149,constance-ivory,MERGE,Active,Archived
8885287190749,emma-skirt-5,MERGE,Active,Archived
8887774871773,vinny-boyfriend-pocket-sweatpant-heather-oatmeal,MERGE,Active,Archived
8887774937309,sonny-short-sleeve-sweatshirt-heather-oatmeal,MERGE,Active,Archived
8887775002845,sonny-oversized-sweatshirt-heather-oatmeal,MERGE,Active,Archived
8903871856861,short-sleeve-baby-tee-b-br,MERGE,Active,Archived
8903880016093,short-sleeve-baby-tee-heather-oatme-cm,MERGE,Active,Archived
8903886078173,short-sleeve-baby-tee-navy-cm-copy,MERGE,Active,Archived
8903923892445,long-sleeve-baby-tee-b-br,MERGE,Active,Archived
8903972946141,cropped-fitted-turtleneck-top-chocolate-sj,MERGE,Active,Archived
8903977828573,cropped-fitted-turtleneck-top-navy-sj,MERGE,Active,Archived
8903982219485,cropped-fitted-turtleneck-top-moss-sj,MERGE,Active,Archived
8904000209117,fitted-crewneck-short-sleeve-t-shirt-ivory-sj,MERGE,Active,Archived
8904005615837,fitted-crewneck-short-sleeve-t-shirt-cream-cm,MERGE,Active,Archived
8904010531037,fitted-crewneck-short-sleeve-t-shirt-chocolate-sj,MERGE,Active,Archived
8904013643997,fitted-crewneck-short-sleeve-t-shirt-heather-grey-sj,MERGE,Active,Archived
8904014725341,fitted-crewneck-short-sleeve-t-shirt-moss-sj,MERGE,Active,Archived
8904020689117,fitted-crewneck-long-sleeve-t-shirt-chocolate-sj,MERGE,Active,Archived
8904021147869,fitted-crewneck-long-sleeve-t-shirt-ivory-sj,MERGE,Active,Archived
8904022327517,fitted-crewneck-long-sleeve-t-shirt-moss-sj,MERGE,Active,Archived
8904023572701,fitted-crewneck-long-sleeve-t-shirt-heather-grey-sj,MERGE,Active,Archived
8904028684509,fitted-crewneck-long-sleeve-t-shirt-cream-cm,MERGE,Active,Archived
8904036843741,lounge-pant-heather-oatmeal-ct,MERGE,Active,Archived
8904039629021,lounge-pant-moss-ct,MERGE,Active,Archived
8904043036893,lounge-pant-navy-ct,MERGE,Active,Archived
8904043823325,lounge-pant-chocolate-ct,MERGE,Active,Archived
8914680742109,test-2-red,MERGE,Active,Archived
8919839932637,lenny-vest-dove,MERGE,Active,Archived
8919856447709,brody-pant-dove,MERGE,Active,Archived
8919858643165,amina-top-poppy,MERGE,Active,Archived
8919859101917,brody-pant-poppy,MERGE,Active,Archived
8919859232989,josephine-trouser-poppy,MERGE,Active,Archived
8919861100765,short-sleeve-hoodie-sweatshirt-bone,MERGE,Active,Archived
8919861919965,long-sleeve-baby-tee-black-cm-copybr,MERGE,Active,Archived
8938737893597,long-sleeve-baby-tee-copy,MERGE,Active,Archived
8938739106013,long-sleeve-baby-tee-copy-2,MERGE,Active,Archived
8938750640349,long-sleeve-baby-tee-test,MERGE,Active,Archived
8938845274333,long-sleeve-baby-tee-copy-horizontal,MERGE,Active,Archived
8943635136733,test-preorder50,MERGE,Active,Archived
8946351014109,test-preorder50-2,MERGE,Active,Archived
8969557606621,hidden-product,MERGE,Active,Archived
8971306827997,theodore-cardigan-copy,MERGE,Active,Archived
8971858444509,theodore-cardigan-unchanged,MERGE,Active,Archived
8993753891037,test-hidden,MERGE,Active,Archived
8993981038813,test-hidden-2,MERGE,Active,Archived
8995396681949,test-adding-loop-tag,MERGE,Active,Archived
8995450257629,test-loop-2,MERGE,Active,Archived
8995450388701,loop-draft,MERGE,Active,Archived
8998023102685,test-hidden-category-1,MERGE,Draft,Archived
9004280086749,test-2-copy,MERGE,Active,Archived
9004284248285,constance-top-copy,MERGE,Active,Archived
9004637815005,test-t-shirt,MERGE,Active,Archived
9004638077149,test-t-shirt-with-price,MERGE,Active,Archived
9004643025117,cropped-cardigan-test,MERGE,Active,Archived
9004642238685,cropped-cardigan-3,MERGE,Active,Archived
8903979303133,cropped-fitted-turtleneck-top-heather-oatmeal-sj,MERGE,Active,Archived
