ID,Handle,Command,Status
8810152427741,gift-card,UPDATE,Draft
8810152329437,gift-card-1,UPDATE,Draft
8810166649053,test-2,UPDATE,Draft
8819108708573,boyfriend-tank-black,UPDATE,Draft
8819108774109,cropped-boyfriend-tank-ivory,UPDATE,Draft
8819108806877,boyfriend-tank-ivory,UPDATE,Draft
8819108872413,cropped-boyfriend-tank-black,UPDATE,Draft
8819109134557,cropped-long-sleeve-thermal-ivory,UPDATE,Draft
8819109331165,short-biker,UPDATE,Draft
8819109363933,long-biker,UPDATE,Draft
8819109429469,bandeau-bra,UPDATE,Draft
8819109920989,eterne-mask,UPDATE,Draft
8819109953757,turtleneck-bodysuit,UPDATE,Draft
8819110019293,halter-bodysuit-ivory,UPDATE,Draft
8819110052061,halter-bodysuit-black,UPDATE,Draft
8819110215901,cropped-ribbed-turtleneck-ivory,UPDATE,Draft
8819110248669,cropped-ribbed-turtleneck-black,UPDATE,Draft
8819110314205,ribbed-racerback-tank-ivory,UPDATE,Draft
8819110346973,ribbed-racerback-tank-black,UPDATE,Draft
8819110412509,ribbed-racerback-tank-heather-grey,UPDATE,Draft
8819110445277,cropped-rib-racerback-tank-ivory,UPDATE,Draft
8819110510813,cropped-ribbed-racerback-tank-black,UPDATE,Draft
8819110543581,cropped-ribbed-racerback-tank-heather-grey,UPDATE,Draft
8819110609117,long-sleeve-hoodie-t-shirt-ivory,UPDATE,Draft
8819110641885,long-sleeve-hoodie-t-shirt-black,UPDATE,Draft
8819110674653,long-sleeve-hoodie-t-shirt-heather-grey,UPDATE,Draft
8819110707421,long-sleeve-cropped-hoodie-t-shirt-ivory,UPDATE,Draft
8819110772957,long-sleeve-cropped-hoodie-t-shirt-heather-grey,UPDATE,Draft
8819110805725,long-sleeve-cropped-hoodie-t-shirt-black,UPDATE,Draft
8819110838493,boyfriend-pocket-t-shirt-ivory,UPDATE,Draft
8819110936797,boyfriend-pocket-t-shirt-black,UPDATE,Draft
8819110969565,boyfriend-pocket-t-shirt-heather-grey,UPDATE,Draft
8819111198941,lounge-boxer-short-ivory,UPDATE,Draft
8819111231709,lounge-boxer-short-black,UPDATE,Draft
8819111297245,lounge-boxer-short-heather-grey,UPDATE,Draft
8819111362781,oversized-thermal-ivory,UPDATE,Draft
8819111395549,oversized-thermal-black,UPDATE,Draft
8819111461085,oversized-thermal-heather-grey,UPDATE,Draft
8819111493853,cropped-oversized-thermal-ivory,UPDATE,Draft
8819111526621,cropped-oversized-thermal-black,UPDATE,Draft
8819111592157,cropped-oversized-thermal-heather-grey,UPDATE,Draft
8819111624925,thermal-biker-short-black,UPDATE,Draft
8819111690461,thermal-biker-short-heather-grey,UPDATE,Draft
8819111755997,thermal-romper,UPDATE,Draft
8819111788765,thermal-lounge-pant-ivory,UPDATE,Draft
8819111821533,thermal-lounge-pant-black,UPDATE,Draft
8819111887069,cropped-v-neck-t-shirt-black,UPDATE,Draft
8819111919837,thermal-lounge-pant-heather-grey,UPDATE,Draft
8819111985373,cropped-v-neck-t-shirt-ivory,UPDATE,Draft
8819112116445,long-sleeve-cropped-t-shirt-black,UPDATE,Draft
8819112149213,long-sleeve-cropped-t-shirt-ivory,UPDATE,Draft
8819112181981,long-sleeve-cropped-t-shirt-heather-grey,UPDATE,Draft
8819112280285,long-sleeve-cropped-rib-t-shirt-ivory,UPDATE,Draft
8819112313053,long-sleeve-cropped-rib-t-shirt-black,UPDATE,Draft
8819112411357,long-sleeve-cropped-rib-t-shirt-heather-grey,UPDATE,Draft
8819112444125,cropped-v-neck-t-shirt-heather-grey,UPDATE,Draft
8819112509661,v-neck-t-shirt-heather-grey,UPDATE,Draft
8819112575197,cropped-long-sleeve-thermal-grey,UPDATE,Draft
8819108577501,cropped-long-sleeve-thermal-black,UPDATE,Draft
8819112771805,cropped-thermal-henley-heather-grey,UPDATE,Draft
8819113001181,cropped-scoop-neck-tank-heather-grey,UPDATE,Draft
8819113033949,thermal-henley-black,UPDATE,Draft
8819113066717,tank-dress-mini-heather-grey,UPDATE,Draft
8819113099485,thermal-henley-heather-grey,UPDATE,Draft
8819113361629,long-sleeve-crewneck-dress-mini-heather-grey,UPDATE,Draft
8819113394397,super-cropped-rib-tank-black,UPDATE,Draft
8819113492701,super-cropped-rib-tank-heather-grey,UPDATE,Draft
8819113525469,super-cropped-rib-tank-ivory,UPDATE,Draft
8819113722077,cropped-long-sleeve-fitted-top-black,UPDATE,Draft
8819113754845,cropped-long-sleeve-fitted-top-cream,UPDATE,Draft
8819113787613,cropped-long-sleeve-fitted-top-heather-grey,UPDATE,Draft
8819113951453,cropped-fitted-turtleneck-top-heather-grey,UPDATE,Draft
8819113984221,thin-strap-fitted-tank-black,UPDATE,Draft
8819114049757,thin-strap-fitted-tank-cream,UPDATE,Draft
8819114082525,thin-strap-fitted-tank-heather-grey,UPDATE,Draft
8819114148061,cropped-thin-strap-fitted-tank-black,UPDATE,Draft
